"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PPGIJJGB_00001",131.367614070341,-2.98096368574358,0.249874515974183,-11.9298427617627,8.27296099635146e-33,9.88295502313468e-32
"PPGIJJGB_00002",0,NA,NA,NA,NA,NA
"PPGIJJGB_00003",317.170572698136,-10.6985842783228,1.18496007399935,-9.02864536373287,1.73809956653274e-19,1.24850199009289e-18
"PPGIJJGB_00004",229.049772457746,-5.45243269967936,0.302302659150569,-18.0363372092061,1.01021805235067e-72,2.87005538975525e-71
"PPGIJJGB_00005",220.436485611441,-5.77337528507299,0.332069250113116,-17.3860581282559,1.05227165658931e-67,2.71143487325803e-66
"PPGIJJGB_00006",767.646498019744,0.0924871035395757,0.0804140988291183,1.15013542259689,0.250088098768871,0.368351099705862
"PPGIJJGB_00007",238.502016626434,0.582568783417504,0.146364421242902,3.98026226913908,6.88392773549302e-05,0.00024349216060419
"PPGIJJGB_00008",1013.69927890486,0.0381604970507618,0.0771548828968701,0.494596007640493,0.620885320904565,0.732631454272905
"PPGIJJGB_00009",445.414164605945,0.0118938129840273,0.11511944199131,0.103317152848301,0.917711262465917,0.947719145792656
"PPGIJJGB_00010",902.105327975527,0.117521744885789,0.0857980352088261,1.3697486731456,0.170765369189059,0.274015972572741
"PPGIJJGB_00011",116.029191418631,-0.126768885168168,0.205410547517155,-0.617148859688331,0.537136543771275,0.66311675821568
"PPGIJJGB_00012",167.004033185455,-0.305116771196187,0.184033712081327,-1.65793955762492,0.0973296667525704,0.173447962624605
"PPGIJJGB_00013",215.977852708639,0.0725669092318742,0.160447685612924,0.452277693845581,0.651068943288458,0.757865298328685
"PPGIJJGB_00014",1411.90503265732,0.0810311474850995,0.0652345597376554,1.24215059948241,0.214181002410725,0.327214823400322
"PPGIJJGB_00015",587.729601616548,-1.85606647193867,0.294152272199163,-6.30988317058445,2.7924618339717e-10,1.34086574736323e-09
"PPGIJJGB_00016",137.87582467856,0.145277444200663,0.18480705027214,0.786103365573623,0.431806932746939,0.565701544763356
"PPGIJJGB_00017",1626.85290784505,0.147731692883874,0.0622051398286591,2.37491135444424,0.0175531651818742,0.0410098197607098
"PPGIJJGB_00018",899.450391935974,0.144871737861899,0.0773531681368553,1.87286107797923,0.0610875711109042,0.118020974352017
"PPGIJJGB_00019",951.956374054055,0.379068602911412,0.0760113478560093,4.98700014673459,6.13240187818489e-07,2.51422804108376e-06
"PPGIJJGB_00020",368.840910401491,0.0209802630739544,0.114851218193159,0.182673404810295,0.855054284488655,0.907037000683034
"PPGIJJGB_00021",1040.80417961508,0.0224206503726663,0.0738046123128795,0.303783864856827,0.761292560151662,0.840242710366373
"PPGIJJGB_00022",339.625362258457,0.22176020691292,0.120498836069103,1.84035144360852,0.0657166572882539,0.124788442631337
"PPGIJJGB_00023",385.173473087187,-8.78933613359628,0.654884882975185,-13.4211925822226,4.5434231551506e-41,6.27303782667522e-40
"PPGIJJGB_00024",89.8684989913675,-9.84434534205921,1.20254585204817,-8.18625362624835,2.69483510937172e-16,1.61398773036966e-15
"PPGIJJGB_00025",130.320447098011,-5.09706400202984,0.362834869055642,-14.0478890997882,7.93645688996062e-45,1.21290954952777e-43
"PPGIJJGB_00026",390.162246309775,-7.02716748443646,0.364080241875512,-19.301150340477,5.25267725372808e-83,1.86238924708183e-81
"PPGIJJGB_00027",1764.55439927522,0.120123378853894,0.052186673728422,2.30180178715763,0.021346352733372,0.0487413886214862
"PPGIJJGB_00028",1668.73705571947,0.181022997856138,0.0561604522275317,3.2233180232013,0.00126714783876476,0.00379972883721611
"PPGIJJGB_00029",580.73555187562,-1.0128136930547,0.094525124316041,-10.7147565304267,8.67852990487074e-27,8.84212518123842e-26
